epoch,train_loss,train_acc,train_mean_class_acc,val_loss,val_acc,val_mean_class_acc,lr
1,2.387823,0.358943,0.190037,2.011268,0.433549,0.326942,0.00099975
2,1.785374,0.501524,0.320912,1.609761,0.523501,0.392541,0.00099901
3,1.566908,0.555081,0.388378,1.291304,0.610211,0.480192,0.00099778
4,1.452168,0.578760,0.428639,1.314701,0.602917,0.484791,0.00099606
5,1.357944,0.604065,0.458888,1.177729,0.646272,0.528924,0.00099384
6,1.308388,0.614024,0.468376,1.137999,0.657212,0.558907,0.00099114
7,1.229573,0.632622,0.494794,1.074072,0.681118,0.548610,0.00098796
8,1.179757,0.649797,0.517778,1.041778,0.666126,0.560674,0.00098429
9,1.145147,0.654980,0.527001,0.963070,0.709076,0.606581,0.00098015
10,1.118303,0.667683,0.545527,0.951820,0.713533,0.619134,0.00097553
11,1.082770,0.673476,0.549381,0.896451,0.739465,0.644349,0.00097044
12,1.049713,0.685467,0.569117,0.865986,0.747974,0.659674,0.00096489
13,1.030078,0.689431,0.567937,0.848499,0.749595,0.658756,0.00095888
14,0.998755,0.702033,0.590046,0.813455,0.754052,0.676337,0.00095241
15,0.986437,0.701626,0.588001,0.775984,0.770665,0.680035,0.00094550
16,0.978007,0.703557,0.589367,0.730399,0.788493,0.684698,0.00093815
17,0.936555,0.720732,0.612794,0.785540,0.761345,0.668663,0.00093037
18,0.931412,0.718902,0.614586,0.765772,0.779173,0.704424,0.00092216
19,0.938736,0.714736,0.607280,0.745305,0.786467,0.719314,0.00091354
20,0.909311,0.728862,0.626048,0.726174,0.778768,0.705622,0.00090451
21,0.892836,0.727134,0.619702,0.778732,0.761750,0.682012,0.00089508
22,0.864068,0.734553,0.626630,0.690669,0.792139,0.708233,0.00088526
23,0.873453,0.733028,0.627325,0.741675,0.773906,0.693302,0.00087506
24,0.858619,0.733537,0.627626,0.691853,0.798217,0.722913,0.00086448
25,0.832720,0.741870,0.642908,0.742493,0.773501,0.685593,0.00085355
26,0.824692,0.748069,0.648895,0.650169,0.804295,0.713744,0.00084227
27,0.811471,0.751626,0.657296,0.672011,0.790113,0.712140,0.00083066
28,0.792510,0.755183,0.656705,0.653736,0.799433,0.712907,0.00081871
29,0.802165,0.758028,0.660241,0.649840,0.808347,0.728023,0.00080645
30,0.784968,0.760264,0.664146,0.605371,0.818476,0.745744,0.00079389
31,0.774424,0.761484,0.664877,0.606806,0.817261,0.750326,0.00078104
32,0.777303,0.765752,0.673124,0.661747,0.791329,0.723273,0.00076791
33,0.744674,0.773476,0.683781,0.613774,0.809157,0.741442,0.00075452
34,0.756914,0.767581,0.671689,0.622302,0.810778,0.735023,0.00074088
35,0.732161,0.774695,0.684077,0.580354,0.825365,0.751860,0.00072700
36,0.736952,0.771748,0.681100,0.583204,0.823744,0.752145,0.00071289
37,0.731358,0.776524,0.689140,0.584260,0.823339,0.753186,0.00069857
38,0.708390,0.781098,0.689243,0.588694,0.823339,0.752477,0.00068406
39,0.701615,0.781504,0.693171,0.569324,0.833468,0.768227,0.00066937
40,0.700054,0.780183,0.692012,0.578688,0.821313,0.771145,0.00065451
41,0.679683,0.787602,0.700487,0.595515,0.816856,0.753401,0.00063950
42,0.689546,0.789634,0.706000,0.546976,0.829417,0.768012,0.00062434
43,0.680230,0.792276,0.708063,0.537310,0.839951,0.782686,0.00060907
44,0.659584,0.792988,0.712212,0.564819,0.826580,0.766180,0.00059369
45,0.650293,0.800711,0.717767,0.540848,0.836710,0.763895,0.00057822
46,0.670669,0.794004,0.716709,0.528365,0.840357,0.778105,0.00056267
47,0.657027,0.795325,0.711114,0.539667,0.835089,0.769140,0.00054705
48,0.643792,0.799593,0.713260,0.556734,0.833468,0.754192,0.00053140
49,0.635817,0.801118,0.722174,0.499892,0.845219,0.774442,0.00051571
50,0.630162,0.802236,0.726493,0.531154,0.843193,0.777517,0.00050000
51,0.619226,0.810163,0.730342,0.527167,0.833874,0.764936,0.00048429
52,0.628351,0.807419,0.729464,0.510640,0.844814,0.773430,0.00046860
53,0.612513,0.810874,0.734395,0.510044,0.839546,0.772227,0.00045295
54,0.625622,0.806707,0.730071,0.481787,0.851297,0.782012,0.00043733
55,0.600278,0.811382,0.733247,0.497614,0.834279,0.783977,0.00042178
56,0.587523,0.813008,0.735803,0.494228,0.848865,0.791477,0.00040631
57,0.586454,0.814634,0.735991,0.486128,0.853728,0.799808,0.00039093
58,0.566838,0.819715,0.748142,0.470819,0.858590,0.797971,0.00037566
59,0.574696,0.824593,0.754984,0.498170,0.844003,0.797715,0.00036050
60,0.572908,0.815955,0.741998,0.463545,0.857374,0.796802,0.00034549
61,0.564653,0.823679,0.752824,0.469908,0.858590,0.804558,0.00033063
62,0.561595,0.821341,0.750532,0.474662,0.853323,0.797140,0.00031594
63,0.564751,0.822967,0.753700,0.466924,0.861426,0.812012,0.00030143
64,0.557326,0.821240,0.750114,0.473035,0.850486,0.795680,0.00028711
65,0.552062,0.829065,0.760323,0.448161,0.863857,0.806890,0.00027300
66,0.541047,0.825508,0.756138,0.454084,0.867504,0.815465,0.00025912
67,0.543152,0.826321,0.754997,0.456635,0.860616,0.802430,0.00024548
68,0.532928,0.834756,0.767514,0.446607,0.857374,0.804302,0.00023209
69,0.536474,0.831098,0.759784,0.458939,0.854538,0.805442,0.00021896
70,0.527310,0.835467,0.762969,0.449578,0.865883,0.806924,0.00020611
71,0.523694,0.833841,0.766474,0.460358,0.858185,0.798221,0.00019355
72,0.517739,0.836077,0.771817,0.435845,0.867504,0.812506,0.00018129
73,0.505668,0.839837,0.772196,0.445222,0.861021,0.808512,0.00016934
74,0.498877,0.839533,0.774757,0.426728,0.867099,0.807971,0.00015773
75,0.507547,0.843699,0.779670,0.443176,0.858995,0.800558,0.00014645
76,0.503329,0.840955,0.773091,0.431750,0.863452,0.808262,0.00013552
77,0.500783,0.844004,0.780717,0.447331,0.868314,0.816349,0.00012494
78,0.502160,0.843089,0.780427,0.439396,0.859400,0.809436,0.00011474
79,0.492612,0.843293,0.779911,0.434982,0.861021,0.809221,0.00010492
80,0.489345,0.844817,0.780361,0.439550,0.867099,0.812558,0.00009549
81,0.487025,0.845427,0.782060,0.431957,0.864668,0.816552,0.00008646
82,0.499155,0.843496,0.780181,0.430630,0.868314,0.819134,0.00007784
83,0.489565,0.845935,0.780556,0.424219,0.870340,0.820837,0.00006963
84,0.482199,0.845935,0.783285,0.441993,0.855754,0.807977,0.00006185
85,0.480572,0.847053,0.784152,0.425588,0.865478,0.812837,0.00005450
