epoch,train_loss,train_acc,train_mean_class_acc,val_loss,val_acc,val_mean_class_acc,lr
1,2.386845,0.215049,0.144737,2.269370,0.271339,0.182383,0.00099975
2,2.245528,0.266643,0.184268,2.164398,0.294587,0.193877,0.00099901
3,2.173667,0.292484,0.206149,2.164265,0.294934,0.219479,0.00099778
4,2.115098,0.308427,0.223480,2.074924,0.338307,0.240911,0.00099606
5,2.063027,0.325070,0.237384,1.959286,0.354615,0.253653,0.00099384
6,2.014482,0.343728,0.255027,1.955442,0.359126,0.266840,0.00099114
7,1.970055,0.355028,0.266561,1.912239,0.376822,0.290364,0.00098796
8,1.939757,0.371584,0.283794,1.837327,0.400416,0.317966,0.00098429
9,1.901848,0.384986,0.298964,1.787105,0.418112,0.335709,0.00098015
10,1.861716,0.392957,0.309368,1.756209,0.432686,0.351200,0.00097553
11,1.823935,0.407148,0.317223,1.714163,0.439972,0.344869,0.00097044
12,1.812359,0.419149,0.329717,1.674345,0.448647,0.344345,0.00096489
13,1.783245,0.420375,0.331178,1.739114,0.427134,0.354977,0.00095888
14,1.763772,0.430711,0.340777,1.653993,0.461832,0.367932,0.00095241
15,1.752660,0.428346,0.340647,1.719764,0.434074,0.371408,0.00094550
16,1.714872,0.443763,0.353039,1.623880,0.472588,0.383615,0.00093815
17,1.703583,0.448931,0.360587,1.580154,0.477793,0.387693,0.00093037
18,1.673346,0.455851,0.370359,1.585745,0.482651,0.385970,0.00092216
19,1.667569,0.458655,0.374167,1.581261,0.482998,0.402134,0.00091354
20,1.660832,0.455151,0.370153,1.515880,0.491325,0.414530,0.00090451
21,1.641393,0.468465,0.378857,1.626601,0.471548,0.405168,0.00089508
22,1.624583,0.475298,0.387546,1.506782,0.510756,0.447374,0.00088526
23,1.600704,0.478539,0.394917,1.511692,0.500000,0.414962,0.00087506
24,1.588451,0.480729,0.397009,1.522287,0.497918,0.424621,0.00086448
25,1.587063,0.483795,0.401880,1.498091,0.505552,0.426285,0.00085355
26,1.561667,0.491591,0.404814,1.483297,0.514920,0.431046,0.00084227
27,1.556565,0.494306,0.412043,1.515938,0.495836,0.409462,0.00083066
28,1.533619,0.505519,0.422877,1.452312,0.525330,0.447983,0.00081871
29,1.535588,0.502715,0.419413,1.510256,0.505205,0.426771,0.00080645
30,1.505353,0.508847,0.427099,1.453462,0.517696,0.441637,0.00079389
31,1.499962,0.512964,0.430015,1.445999,0.533657,0.469759,0.00078104
32,1.494887,0.519972,0.445423,1.392196,0.530881,0.457729,0.00076791
33,1.471759,0.523563,0.443958,1.412626,0.539903,0.468621,0.00075452
34,1.468975,0.524965,0.447319,1.462721,0.521166,0.434103,0.00074088
35,1.460362,0.527768,0.448479,1.360334,0.552394,0.485214,0.00072700
36,1.464333,0.526279,0.452601,1.350003,0.555517,0.485636,0.00071289
37,1.441075,0.536265,0.459423,1.413454,0.547189,0.497807,0.00069857
38,1.418020,0.534776,0.459062,1.362852,0.562804,0.515500,0.00068406
39,1.428394,0.536352,0.460984,1.385788,0.549618,0.481096,0.00066937
40,1.408553,0.549404,0.473476,1.347883,0.549271,0.473125,0.00065451
41,1.402266,0.546776,0.474480,1.325583,0.568702,0.507977,0.00063950
42,1.399362,0.543448,0.471974,1.336452,0.574254,0.513765,0.00062434
43,1.397070,0.545463,0.469868,1.354410,0.551006,0.480356,0.00060907
44,1.371877,0.556762,0.484543,1.315371,0.565926,0.503513,0.00059369
45,1.370283,0.559128,0.490392,1.388667,0.547536,0.477988,0.00057822
46,1.346437,0.564646,0.492885,1.331939,0.565232,0.508840,0.00056267
47,1.332730,0.564996,0.495820,1.305036,0.578418,0.528125,0.00054705
48,1.343275,0.565084,0.494393,1.295689,0.583969,0.517765,0.00053140
49,1.330840,0.570252,0.499806,1.334583,0.563498,0.500018,0.00051571
50,1.327446,0.572355,0.500847,1.339007,0.560375,0.492892,0.00050000
51,1.318906,0.575158,0.507838,1.343420,0.564192,0.506095,0.00048429
52,1.297541,0.580764,0.511604,1.327209,0.565579,0.504985,0.00046860
53,1.301190,0.580589,0.511513,1.297441,0.581541,0.515243,0.00045295
54,1.280457,0.582165,0.514112,1.307345,0.578071,0.526921,0.00043733
55,1.285239,0.585932,0.515920,1.290244,0.588480,0.535884,0.00042178
56,1.281554,0.585319,0.519701,1.264120,0.582929,0.518533,0.00040631
57,1.261969,0.590312,0.523102,1.241501,0.595420,0.533195,0.00039093
58,1.262191,0.587421,0.520377,1.263644,0.597155,0.536227,0.00037566
59,1.263460,0.590049,0.523727,1.264148,0.590909,0.529261,0.00036050
60,1.258341,0.596268,0.529627,1.266432,0.586051,0.525753,0.00034549
61,1.244957,0.602488,0.534650,1.268025,0.595073,0.543935,0.00033063
62,1.229125,0.604940,0.537379,1.299801,0.580153,0.526256,0.00031594
63,1.226025,0.608357,0.546856,1.258196,0.604094,0.548736,0.00030143
64,1.231671,0.604240,0.539661,1.248916,0.607911,0.553023,0.00028711
65,1.219936,0.603889,0.537874,1.250969,0.594379,0.540845,0.00027300
66,1.210160,0.609758,0.546733,1.252664,0.590215,0.536518,0.00025912
