epoch,train_loss,train_acc,train_mean_class_acc,val_loss,val_acc,val_mean_class_acc,lr
1,2.188857,0.328136,0.248323,1.685297,0.463567,0.362707,0.00049981
2,1.947265,0.434566,0.338134,1.572108,0.487509,0.355725,0.00049923
3,1.834761,0.486510,0.393558,1.396422,0.556558,0.458329,0.00049827
4,1.757747,0.515592,0.423875,1.430142,0.531575,0.432367,0.00049692
5,1.699571,0.543535,0.454884,1.314436,0.580847,0.502660,0.00049520
6,1.650620,0.557288,0.473393,1.320003,0.588480,0.518876,0.00049309
7,1.594511,0.579100,0.499489,1.239791,0.596461,0.530095,0.00049061
8,1.558770,0.600123,0.530583,1.191873,0.619015,0.547645,0.00048776
9,1.524227,0.613350,0.549449,1.196575,0.610340,0.526976,0.00048455
10,1.497033,0.626664,0.562164,1.076440,0.658570,0.600513,0.00048097
11,1.465275,0.641906,0.581792,1.081576,0.656836,0.597823,0.00047704
12,1.435596,0.654695,0.594250,1.091309,0.645038,0.575008,0.00047275
13,1.399304,0.670550,0.614655,1.099818,0.642956,0.589914,0.00046812
14,1.382980,0.679660,0.625658,1.008561,0.681818,0.616908,0.00046316
15,1.377932,0.678609,0.626668,1.014627,0.677307,0.650549,0.00045787
16,1.338473,0.700070,0.648532,1.009740,0.674879,0.624202,0.00045225
17,1.344449,0.699369,0.654516,1.021858,0.676960,0.653728,0.00044633
18,1.315647,0.709180,0.662524,0.961389,0.698820,0.656123,0.00044010
19,1.300429,0.715137,0.671750,0.982802,0.691534,0.636546,0.00043358
20,1.285002,0.720830,0.677313,0.930236,0.704372,0.655362,0.00042678
21,1.281465,0.723458,0.680703,0.995067,0.679042,0.644014,0.00041970
22,1.253992,0.737036,0.695124,0.923126,0.701596,0.662423,0.00041236
23,1.241866,0.741416,0.702362,0.905179,0.702637,0.654161,0.00040477
24,1.226538,0.747635,0.709102,0.894269,0.718945,0.680808,0.00039695
25,1.211087,0.755957,0.718560,0.939652,0.702290,0.656416,0.00038889
26,1.209185,0.754818,0.718140,0.971708,0.697085,0.662563,0.00038062
27,1.189187,0.767782,0.729671,0.900275,0.712700,0.672639,0.00037216
28,1.183004,0.766118,0.727671,0.908405,0.716863,0.679287,0.00036350
29,1.161442,0.778381,0.741935,0.901273,0.714434,0.677680,0.00035466
30,1.167708,0.776191,0.743337,0.917832,0.713740,0.675963,0.00034567
31,1.149117,0.784688,0.751806,0.878649,0.725191,0.680007,0.00033653
32,1.146725,0.780484,0.749867,0.908482,0.714087,0.672971,0.00032725
33,1.137638,0.790032,0.759769,0.873479,0.718251,0.679888,0.00031786
34,1.121690,0.794937,0.764519,0.895717,0.721027,0.686116,0.00030836
35,1.109401,0.799842,0.770664,0.896926,0.710965,0.666871,0.00029877
36,1.111682,0.795900,0.769213,0.872321,0.724150,0.685026,0.00028911
37,1.091765,0.807463,0.779879,0.899256,0.719986,0.690007,0.00027938
38,1.079183,0.816924,0.792400,0.870001,0.727273,0.700293,0.00026961
39,1.071269,0.816573,0.789758,0.875884,0.730743,0.691613,0.00025981
40,1.071598,0.816223,0.788703,0.873408,0.729008,0.690404,0.00025000
41,1.062672,0.820778,0.797049,0.880457,0.721721,0.687959,0.00024019
42,1.054831,0.824282,0.797851,0.902596,0.716516,0.685265,0.00023039
43,1.049711,0.828048,0.802017,0.911443,0.719986,0.686713,0.00022062
44,1.039521,0.827961,0.804462,0.859114,0.733171,0.695083,0.00021089
45,1.028435,0.836545,0.816113,0.869207,0.727273,0.688933,0.00020123
46,1.016291,0.842765,0.821627,0.900896,0.721027,0.673944,0.00019164
47,1.015103,0.842327,0.818421,0.857770,0.727620,0.684084,0.00018214
