epoch,train_loss,train_acc,train_mean_class_acc,val_loss,val_acc,val_mean_class_acc,lr
1,2.066680,0.324369,0.246692,1.668923,0.473282,0.378837,0.00049997
2,1.782116,0.419674,0.332088,1.522807,0.508328,0.398362,0.00049988
3,1.644330,0.466275,0.375136,1.434026,0.524983,0.442303,0.00049972
4,1.545574,0.498511,0.407445,1.432525,0.537474,0.438354,0.00049951
5,1.467893,0.521198,0.435040,1.324750,0.562110,0.463910,0.00049923
6,1.399236,0.543448,0.460739,1.177648,0.615198,0.523348,0.00049889
7,1.323307,0.566310,0.492110,1.285961,0.579459,0.512347,0.00049849
8,1.283837,0.577523,0.509850,1.119892,0.636017,0.571817,0.00049803
9,1.229126,0.598546,0.534584,1.175349,0.623525,0.536052,0.00049751
10,1.171210,0.617905,0.560964,1.098149,0.642956,0.605724,0.00049692
11,1.139506,0.628767,0.569269,1.031455,0.659611,0.599248,0.00049628
12,1.096779,0.643045,0.586466,0.958288,0.684941,0.630774,0.00049557
13,1.049817,0.655221,0.604994,1.002279,0.670715,0.627744,0.00049481
14,1.033756,0.670375,0.624613,0.937239,0.688758,0.648757,0.00049398
15,1.006756,0.669061,0.630599,1.040080,0.668980,0.640409,0.00049309
16,0.977783,0.680886,0.635602,1.024902,0.676613,0.632251,0.00049215
17,0.970141,0.682551,0.640235,0.892924,0.712006,0.677591,0.00049114
18,0.918813,0.703136,0.664360,0.905019,0.704372,0.676062,0.00049007
19,0.910219,0.705501,0.667796,0.926618,0.705760,0.650550,0.00048895
