epoch,train_loss,train_acc,train_mean_class_acc,val_loss,val_acc,val_mean_class_acc,lr
1,2.474071,0.355183,0.170622,2.321671,0.333468,0.213419,0.00099975
2,1.903161,0.465854,0.274878,1.788331,0.458266,0.337122,0.00099901
3,1.671886,0.515346,0.334970,1.633419,0.488655,0.395924,0.00099778
4,1.547683,0.548171,0.379121,1.718296,0.496353,0.397459,0.00099606
5,1.451362,0.574289,0.414370,1.635037,0.496759,0.411913,0.00099384
6,1.396816,0.590650,0.435311,1.497736,0.547002,0.434145,0.00099114
7,1.329517,0.605793,0.458639,1.305416,0.602917,0.503227,0.00098796
8,1.306240,0.615142,0.468201,1.729677,0.484603,0.414093,0.00098429
9,1.257193,0.624898,0.481314,1.320407,0.610616,0.500023,0.00098015
10,1.218599,0.641260,0.501586,1.432981,0.597245,0.491610,0.00097553
11,1.174654,0.647764,0.510239,1.230527,0.629254,0.538448,0.00097044
12,1.153762,0.659959,0.525100,1.345537,0.601297,0.520692,0.00096489
13,1.128352,0.660163,0.530477,1.172934,0.630470,0.531727,0.00095888
14,1.088954,0.673577,0.545081,1.123514,0.668963,0.582140,0.00095241
15,1.084867,0.674085,0.544958,1.196432,0.640194,0.535831,0.00094550
16,1.032784,0.690041,0.566813,1.113097,0.670178,0.570105,0.00093815
17,0.995956,0.697866,0.575500,1.253810,0.617099,0.554895,0.00093037
18,0.989646,0.698780,0.578784,1.106002,0.660454,0.582930,0.00092216
19,0.960178,0.709451,0.594443,1.093368,0.672609,0.587651,0.00091354
20,0.963621,0.708435,0.589455,0.995926,0.690032,0.596378,0.00090451
21,0.957890,0.707520,0.587810,0.963722,0.717585,0.634047,0.00089508
22,0.923347,0.724898,0.611676,0.887912,0.723258,0.637797,0.00088526
23,0.891089,0.727642,0.616408,0.854758,0.742707,0.650047,0.00087506
24,0.898746,0.722358,0.613269,0.906153,0.710697,0.634436,0.00086448
25,0.878361,0.729472,0.621354,0.917847,0.731767,0.633250,0.00085355
26,0.876819,0.733841,0.625086,0.976085,0.703404,0.610494,0.00084227
27,0.836675,0.743496,0.635220,1.039170,0.683144,0.617698,0.00083066
28,0.834225,0.740346,0.633796,0.997089,0.700972,0.634430,0.00081871
29,0.822206,0.748171,0.645182,0.976439,0.703404,0.632942,0.00080645
30,0.818127,0.752642,0.652654,1.090077,0.666126,0.595093,0.00079389
31,0.788127,0.762297,0.659011,0.960206,0.700567,0.609291,0.00078104
32,0.795811,0.756911,0.651791,0.789156,0.761345,0.685355,0.00076791
33,0.767558,0.763923,0.666386,0.938374,0.722853,0.635663,0.00075452
34,0.752508,0.769715,0.671107,0.796475,0.769044,0.697203,0.00074088
35,0.761538,0.770224,0.674602,0.785094,0.774311,0.694366,0.00072700
36,0.753367,0.769919,0.676796,0.731184,0.777553,0.705738,0.00071289
37,0.728773,0.773679,0.677998,0.780390,0.765397,0.688837,0.00069857
38,0.740239,0.774289,0.679505,0.748749,0.773501,0.704599,0.00068406
39,0.721941,0.776321,0.677129,0.759055,0.777147,0.705401,0.00066937
40,0.712107,0.777439,0.687342,0.735880,0.782010,0.716541,0.00065451
41,0.707378,0.779573,0.685669,0.829572,0.747974,0.688651,0.00063950
42,0.699796,0.786585,0.693196,0.875331,0.733387,0.657285,0.00062434
43,0.692156,0.786789,0.693731,0.737187,0.778363,0.708948,0.00060907
44,0.685180,0.789024,0.697463,0.708387,0.791734,0.707384,0.00059369
45,0.659747,0.796545,0.708302,0.665463,0.798217,0.725895,0.00057822
46,0.655824,0.797053,0.707348,0.794679,0.763776,0.691233,0.00056267
47,0.660181,0.793394,0.706883,0.740661,0.785251,0.719651,0.00054705
48,0.648003,0.798171,0.712895,0.652555,0.815235,0.735180,0.00053140
49,0.650671,0.796545,0.709052,0.639059,0.805511,0.736907,0.00051571
50,0.642185,0.799797,0.713109,0.695523,0.794165,0.728983,0.00050000
51,0.636319,0.797663,0.713509,0.632887,0.807131,0.743151,0.00048429
52,0.624237,0.804472,0.717051,0.621760,0.815640,0.734814,0.00046860
53,0.624799,0.805183,0.721398,0.604324,0.818476,0.737977,0.00045295
54,0.617480,0.809959,0.727677,0.650940,0.807131,0.748820,0.00043733
55,0.594021,0.813313,0.734218,0.619545,0.817666,0.745360,0.00042178
56,0.586614,0.817480,0.735368,0.640223,0.807131,0.750610,0.00040631
57,0.585894,0.817378,0.736999,0.631029,0.814019,0.746686,0.00039093
58,0.581352,0.817785,0.739796,0.615215,0.815640,0.754157,0.00037566
59,0.568636,0.821748,0.744441,0.648633,0.814830,0.758116,0.00036050
60,0.564311,0.821951,0.743756,0.690649,0.793355,0.724936,0.00034549
61,0.563733,0.821240,0.739741,0.722468,0.783225,0.718895,0.00033063
62,0.551966,0.824085,0.747400,0.638420,0.815235,0.738645,0.00031594
63,0.555330,0.828659,0.754080,0.698749,0.794571,0.729767,0.00030143
64,0.548050,0.827033,0.750612,0.735165,0.778768,0.711692,0.00028711
65,0.535296,0.827846,0.750711,0.626907,0.817261,0.751343,0.00027300
66,0.537731,0.829675,0.750437,0.692084,0.790924,0.716523,0.00025912
67,0.526719,0.828252,0.752873,0.722796,0.780794,0.717483,0.00024548
68,0.525410,0.830183,0.754353,0.689703,0.793760,0.720948,0.00023209
69,0.515942,0.833943,0.758581,0.672584,0.800648,0.727355,0.00021896
70,0.507690,0.840346,0.767221,0.605545,0.828201,0.760558,0.00020611
71,0.514621,0.835772,0.761326,0.601399,0.827391,0.760988,0.00019355
72,0.510398,0.835061,0.762957,0.594309,0.823339,0.754151,0.00018129
73,0.510368,0.838821,0.764605,0.596809,0.826985,0.756930,0.00016934
74,0.502087,0.834350,0.756788,0.582662,0.827391,0.758651,0.00015773
75,0.504440,0.835671,0.756629,0.594578,0.828201,0.764849,0.00014645
76,0.490964,0.844614,0.776146,0.581244,0.827391,0.758849,0.00013552
77,0.486946,0.841870,0.772256,0.555113,0.834684,0.766401,0.00012494
78,0.484228,0.845732,0.774318,0.558047,0.831848,0.769477,0.00011474
79,0.482938,0.845732,0.777314,0.557692,0.839141,0.780983,0.00010492
80,0.477385,0.848272,0.781213,0.551519,0.837115,0.774692,0.00009549
81,0.474912,0.847459,0.775913,0.547651,0.839951,0.782273,0.00008646
82,0.483182,0.844715,0.777035,0.544972,0.838736,0.775767,0.00007784
83,0.474758,0.848171,0.779030,0.550767,0.836710,0.773023,0.00006963
84,0.466548,0.848984,0.781698,0.561040,0.837115,0.778727,0.00006185
85,0.468990,0.848882,0.779964,0.534853,0.842788,0.779099,0.00005450
86,0.468417,0.847358,0.778196,0.541654,0.839546,0.777517,0.00004759
87,0.468761,0.849085,0.782657,0.544812,0.836710,0.772808,0.00004112
88,0.450492,0.855691,0.789878,0.539148,0.837520,0.772733,0.00003511
89,0.462031,0.848984,0.778725,0.550526,0.841977,0.776558,0.00002956
90,0.460660,0.851321,0.784355,0.541136,0.841572,0.778605,0.00002447
91,0.459256,0.852033,0.783979,0.556049,0.839546,0.776145,0.00001985
92,0.459971,0.851931,0.782068,0.532473,0.845624,0.782140,0.00001571
93,0.455094,0.852947,0.785046,0.547324,0.837115,0.773570,0.00001204
94,0.450583,0.851626,0.785663,0.537108,0.843598,0.779395,0.00000886
95,0.458021,0.850407,0.782897,0.543138,0.840762,0.777686,0.00000616
96,0.467145,0.848476,0.780911,0.537421,0.844003,0.784017,0.00000394
97,0.444846,0.856402,0.789853,0.539951,0.839546,0.772936,0.00000222
98,0.455964,0.854268,0.789300,0.541517,0.845219,0.779599,0.00000099
99,0.456774,0.855996,0.789293,0.540577,0.843193,0.782186,0.00000025
100,0.451176,0.853659,0.785188,0.537534,0.837925,0.776145,0.00000000
