epoch,train_loss,train_acc,train_mean_class_acc,val_loss,val_acc,val_mean_class_acc,lr
1,2.325968,0.231955,0.150396,2.364963,0.234212,0.179774,0.00099975
2,2.216040,0.259811,0.174213,2.202851,0.269257,0.200491,0.00099901
3,2.175132,0.271899,0.183509,2.185400,0.268563,0.189308,0.00099778
4,2.158258,0.283462,0.191184,2.180494,0.281749,0.199382,0.00099606
5,2.134389,0.285915,0.194217,2.139526,0.291117,0.210132,0.00099384
6,2.118531,0.294411,0.202032,2.104494,0.305344,0.236997,0.00099114
7,2.096716,0.305361,0.211156,2.088280,0.304303,0.223482,0.00098796
8,2.084427,0.313245,0.217634,2.036311,0.325121,0.254686,0.00098429
9,2.073574,0.318676,0.222863,2.056153,0.332408,0.259180,0.00098015
10,2.059631,0.319376,0.226410,2.007447,0.333449,0.260020,0.00097553
11,2.039069,0.328136,0.231540,2.033095,0.332408,0.249673,0.00097044
12,2.031142,0.328136,0.232486,2.061463,0.314018,0.264445,0.00096489
13,2.028053,0.334355,0.240119,2.033269,0.333449,0.258080,0.00095888
14,2.004673,0.338297,0.246932,1.982554,0.344552,0.257958,0.00095241
15,2.002947,0.336458,0.244059,2.019243,0.338654,0.260289,0.00094550
16,1.987201,0.339611,0.250231,2.009744,0.327550,0.267483,0.00093815
17,1.975869,0.345918,0.257115,1.959022,0.341777,0.269619,0.00093037
18,1.969020,0.351349,0.258925,1.963691,0.354962,0.276559,0.00092216
19,1.956728,0.349159,0.259033,1.939446,0.356350,0.274337,0.00091354
20,1.934548,0.359495,0.270098,1.978270,0.350451,0.274654,0.00090451
21,1.934424,0.361948,0.270882,1.997854,0.338654,0.274061,0.00089508
22,1.932526,0.363350,0.274140,1.936188,0.363636,0.296645,0.00088526
23,1.919325,0.368430,0.279548,1.945829,0.360167,0.294713,0.00087506
24,1.912529,0.368080,0.275658,1.929092,0.358779,0.296419,0.00086448
25,1.892582,0.377453,0.284935,1.899638,0.350798,0.299258,0.00085355
26,1.874667,0.384723,0.293482,1.872884,0.387231,0.314725,0.00084227
27,1.872188,0.384373,0.291304,1.914785,0.371617,0.292938,0.00083066
28,1.882315,0.380957,0.289195,1.886195,0.375087,0.297820,0.00081871
29,1.858665,0.381482,0.290343,1.896676,0.381679,0.311174,0.00080645
30,1.864984,0.384022,0.293305,1.852967,0.364330,0.309949,0.00079389
31,1.851748,0.388840,0.296548,1.872416,0.377863,0.313601,0.00078104
32,1.836498,0.394184,0.301071,1.861436,0.385843,0.313208,0.00076791
33,1.823570,0.404783,0.313025,1.826081,0.399722,0.327445,0.00075452
34,1.824440,0.404783,0.311079,1.853482,0.394171,0.314087,0.00074088
35,1.815775,0.403381,0.311448,1.849302,0.376475,0.307434,0.00072700
36,1.813902,0.402680,0.309072,1.829487,0.401457,0.323800,0.00071289
37,1.813364,0.404432,0.312489,1.823410,0.385496,0.316020,0.00069857
38,1.797635,0.412141,0.315064,1.824413,0.399722,0.318778,0.00068406
39,1.788088,0.412754,0.321803,1.874175,0.381679,0.316710,0.00066937
40,1.780202,0.412929,0.319623,1.821755,0.397294,0.321866,0.00065451
41,1.781760,0.413280,0.320097,1.827823,0.399375,0.335657,0.00063950
42,1.760121,0.427996,0.332973,1.783992,0.416031,0.345102,0.00062434
43,1.764987,0.419499,0.327085,1.794595,0.401457,0.326394,0.00060907
44,1.754910,0.423528,0.327770,1.818528,0.397294,0.332822,0.00059369
45,1.753924,0.423616,0.332501,1.846246,0.402498,0.331272,0.00057822
46,1.741334,0.427383,0.335004,1.839139,0.407009,0.325990,0.00056267
47,1.739367,0.429748,0.334180,1.823359,0.408397,0.325242,0.00054705
48,1.732155,0.430361,0.334915,1.767951,0.422970,0.356725,0.00053140
49,1.711865,0.441661,0.347656,1.806509,0.408397,0.342494,0.00051571
50,1.707118,0.442362,0.349977,1.783578,0.424011,0.356163,0.00050000
51,1.701735,0.439033,0.346672,1.795258,0.411520,0.358978,0.00048429
52,1.707517,0.437894,0.343644,1.767021,0.428175,0.364192,0.00046860
53,1.680880,0.448756,0.351939,1.780363,0.429216,0.361804,0.00045295
54,1.682649,0.445515,0.351415,1.773076,0.429563,0.350108,0.00043733
55,1.672845,0.449632,0.356139,1.758118,0.431298,0.362415,0.00042178
56,1.670299,0.455939,0.364289,1.754754,0.431298,0.354915,0.00040631
57,1.665948,0.452610,0.360221,1.765106,0.421235,0.350261,0.00039093
58,1.649604,0.460932,0.367382,1.751301,0.436502,0.361607,0.00037566
59,1.647244,0.456640,0.364516,1.753031,0.431645,0.358445,0.00036050
60,1.638408,0.462596,0.369778,1.773879,0.433727,0.353215,0.00034549
61,1.643406,0.457954,0.365755,1.731056,0.434421,0.367989,0.00033063
62,1.631175,0.468203,0.376879,1.748547,0.439625,0.370108,0.00031594
63,1.617853,0.468641,0.375098,1.728357,0.442054,0.367860,0.00030143
64,1.610382,0.470305,0.375854,1.702819,0.444136,0.377815,0.00028711
65,1.620183,0.466013,0.374374,1.703783,0.452811,0.381161,0.00027300
66,1.607012,0.473371,0.381251,1.709873,0.454892,0.382782,0.00025912
67,1.610458,0.468290,0.375156,1.709089,0.442054,0.369014,0.00024548
68,1.588133,0.481780,0.390027,1.718108,0.449688,0.378812,0.00023209
69,1.585264,0.483532,0.389723,1.700459,0.450729,0.380810,0.00021896
70,1.585941,0.485634,0.391357,1.697842,0.454892,0.379553,0.00020611
71,1.585866,0.480816,0.386895,1.709983,0.445177,0.368296,0.00019355
72,1.579747,0.482043,0.387542,1.696675,0.455239,0.382850,0.00018129
73,1.586452,0.482306,0.389407,1.700741,0.459403,0.386702,0.00016934
74,1.569569,0.485371,0.391526,1.691254,0.459056,0.389285,0.00015773
75,1.572735,0.485809,0.395648,1.707790,0.460097,0.387415,0.00014645
76,1.551843,0.494832,0.402165,1.701760,0.455239,0.379977,0.00013552
77,1.550250,0.491766,0.398642,1.691929,0.461138,0.386862,0.00012494
78,1.541602,0.496934,0.404718,1.705193,0.460097,0.387959,0.00011474
79,1.539008,0.494306,0.402196,1.677368,0.465302,0.387368,0.00010492
80,1.538896,0.494394,0.402509,1.670268,0.464608,0.388732,0.00009549
81,1.546369,0.493518,0.399370,1.683517,0.462526,0.387442,0.00008646
82,1.538679,0.494394,0.402318,1.675382,0.463220,0.386537,0.00007784
83,1.540721,0.493781,0.401423,1.685765,0.454892,0.384440,0.00006963
84,1.528050,0.497985,0.408683,1.673890,0.462873,0.387555,0.00006185
85,1.533846,0.494219,0.401894,1.666566,0.458015,0.380442,0.00005450
86,1.519721,0.506219,0.412377,1.688933,0.459056,0.380366,0.00004759
87,1.526598,0.499124,0.407873,1.665952,0.467037,0.393010,0.00004112
88,1.520915,0.497197,0.406364,1.670112,0.467384,0.394608,0.00003511
89,1.518647,0.504905,0.410471,1.662441,0.464261,0.391513,0.00002956
90,1.532827,0.498160,0.406861,1.671568,0.466690,0.390742,0.00002447
91,1.519864,0.504643,0.413433,1.671591,0.462873,0.385498,0.00001985
92,1.519105,0.502365,0.412107,1.675811,0.462873,0.386172,0.00001571
93,1.508783,0.506657,0.415258,1.671191,0.465996,0.390283,0.00001204
94,1.511278,0.503504,0.409412,1.665884,0.465996,0.392138,0.00000886
95,1.519606,0.497985,0.405770,1.663165,0.469813,0.395968,0.00000616
96,1.513106,0.507270,0.413070,1.669404,0.463567,0.391381,0.00000394
97,1.512225,0.501051,0.409010,1.675528,0.464955,0.387935,0.00000222
98,1.522801,0.497197,0.406608,1.660694,0.465649,0.391128,0.00000099
99,1.511514,0.502978,0.411092,1.665495,0.462179,0.388258,0.00000025
100,1.514075,0.502803,0.411200,1.672095,0.467731,0.393400,0.00000000
