epoch,train_loss,train_acc,train_mean_class_acc,val_loss,val_acc,val_mean_class_acc,lr
1,2.363499,0.259898,0.180284,2.074680,0.302221,0.227505,0.00049991
2,2.217538,0.311055,0.221337,2.033462,0.339348,0.246097,0.00049966
3,2.170059,0.326647,0.237717,1.978415,0.339695,0.259185,0.00049923
4,2.135954,0.346706,0.258754,1.937614,0.358432,0.305761,0.00049863
5,2.093648,0.366941,0.274727,1.874893,0.391048,0.331912,0.00049786
6,2.055325,0.388227,0.294153,1.842595,0.407009,0.315006,0.00049692
7,2.028605,0.398038,0.302226,1.772576,0.430257,0.333744,0.00049581
8,1.993236,0.413455,0.312130,1.756214,0.433380,0.331503,0.00049454
9,1.969117,0.423791,0.325036,1.733725,0.417765,0.345224,0.00049309
10,1.949953,0.432200,0.333788,1.707551,0.471201,0.386791,0.00049148
11,1.928015,0.437456,0.338857,1.726124,0.432686,0.374844,0.00048970
12,1.902649,0.448406,0.348978,1.694846,0.447606,0.387704,0.00048776
13,1.871955,0.462421,0.361158,1.646656,0.478140,0.386719,0.00048566
14,1.855228,0.470305,0.369955,1.605020,0.487162,0.403945,0.00048340
15,1.827063,0.482568,0.384424,1.536430,0.507981,0.416240,0.00048097
16,1.811105,0.490452,0.388727,1.529299,0.516655,0.429876,0.00047839
17,1.792364,0.497372,0.394691,1.537257,0.507981,0.423949,0.00047565
18,1.778991,0.503942,0.403830,1.560687,0.485427,0.399707,0.00047275
19,1.766363,0.507533,0.407697,1.662007,0.472241,0.389357,0.00046970
20,1.761423,0.512001,0.414997,1.532414,0.503123,0.400075,0.00046651
21,1.736406,0.520760,0.423168,1.469454,0.536780,0.451591,0.00046316
22,1.732197,0.526542,0.431059,1.552970,0.494795,0.407377,0.00045967
23,1.714474,0.529695,0.433420,1.536782,0.514226,0.419465,0.00045603
24,1.697715,0.537141,0.437369,1.441485,0.529493,0.434829,0.00045225
25,1.695776,0.536177,0.441520,1.429616,0.539903,0.449498,0.00044834
26,1.684148,0.540820,0.442903,1.461924,0.522207,0.426525,0.00044429
27,1.674240,0.546514,0.448338,1.468569,0.532616,0.442423,0.00044010
28,1.665649,0.551857,0.458003,1.470611,0.522554,0.446157,0.00043579
29,1.672967,0.546163,0.454664,1.460977,0.526718,0.452299,0.00043134
30,1.644579,0.557551,0.465656,1.465605,0.532269,0.441419,0.00042678
31,1.632781,0.562193,0.471346,1.494633,0.518043,0.453976,0.00042209
32,1.625570,0.567975,0.476234,1.427588,0.538515,0.454062,0.00041728
33,1.619419,0.569727,0.478704,1.474327,0.524289,0.432525,0.00041236
34,1.599087,0.571917,0.481101,1.470906,0.535045,0.451297,0.00040733
35,1.605858,0.571391,0.479501,1.506494,0.505552,0.407096,0.00040219
36,1.595583,0.575158,0.482114,1.433612,0.534698,0.441274,0.00039695
37,1.581769,0.582866,0.493066,1.404539,0.541985,0.455421,0.00039160
38,1.566879,0.590925,0.501605,1.421860,0.528799,0.450868,0.00038616
39,1.554465,0.591013,0.502377,1.406584,0.551353,0.458055,0.00038062
40,1.562685,0.591188,0.504991,1.398740,0.552741,0.470400,0.00037500
41,1.542071,0.600561,0.513087,1.401610,0.548230,0.465779,0.00036929
42,1.533981,0.606254,0.516682,1.382973,0.558987,0.480735,0.00036350
43,1.535356,0.599685,0.516296,1.470508,0.535045,0.447798,0.00035763
44,1.524520,0.607130,0.522758,1.397902,0.548230,0.462212,0.00035168
45,1.505176,0.612474,0.524819,1.420633,0.545455,0.458038,0.00034567
46,1.503652,0.617116,0.528900,1.399663,0.569396,0.488777,0.00033959
47,1.501720,0.615802,0.532884,1.441055,0.551353,0.461571,0.00033345
