epoch,train_loss,train_acc,train_mean_class_acc,val_loss,val_acc,val_mean_class_acc,lr
1,2.268634,0.264891,0.182209,2.072031,0.288341,0.231821,0.00049997
2,2.088496,0.294937,0.206087,1.978070,0.342124,0.261138,0.00049988
3,2.038859,0.315785,0.228432,2.019800,0.341083,0.265606,0.00049972
4,2.009298,0.332428,0.241196,1.912629,0.368841,0.310985,0.00049951
5,1.956728,0.345217,0.257071,1.847790,0.397294,0.320056,0.00049923
6,1.924356,0.367467,0.279101,1.921524,0.368841,0.289302,0.00049889
7,1.877225,0.375526,0.288014,1.797063,0.399028,0.314799,0.00049849
8,1.834769,0.395848,0.302709,1.735534,0.413949,0.340107,0.00049803
9,1.801082,0.413192,0.320374,1.708018,0.429910,0.349964,0.00049751
10,1.778971,0.419061,0.320327,1.727686,0.440319,0.372648,0.00049692
11,1.765431,0.422477,0.327169,1.735710,0.413949,0.334419,0.00049628
12,1.726507,0.436405,0.342267,1.675529,0.444136,0.360541,0.00049557
13,1.692111,0.449720,0.353940,1.700861,0.434421,0.360782,0.00049481
14,1.681076,0.451034,0.354940,1.597740,0.486468,0.394693,0.00049398
15,1.636754,0.465925,0.370668,1.597307,0.480569,0.399421,0.00049309
16,1.620766,0.467677,0.369090,1.592697,0.480569,0.397489,0.00049215
17,1.621436,0.472057,0.377135,1.577390,0.495489,0.413169,0.00049114
18,1.586618,0.477488,0.381738,1.613543,0.476405,0.396175,0.00049007
19,1.581453,0.488350,0.395074,1.572298,0.491325,0.396664,0.00048895
20,1.571415,0.487649,0.391925,1.539077,0.503123,0.415392,0.00048776
21,1.535610,0.500263,0.404484,1.565623,0.505899,0.424153,0.00048652
22,1.525239,0.504730,0.409964,1.494195,0.511103,0.430153,0.00048522
23,1.506264,0.508234,0.415658,1.511824,0.518390,0.431183,0.00048386
24,1.494286,0.513840,0.421839,1.492245,0.518737,0.426530,0.00048244
25,1.479922,0.510249,0.419405,1.555214,0.499306,0.422402,0.00048097
26,1.471970,0.517607,0.425734,1.523515,0.508328,0.414209,0.00047944
27,1.459954,0.523651,0.430930,1.564125,0.513532,0.440403,0.00047785
28,1.451051,0.522512,0.432147,1.542602,0.503123,0.436118,0.00047621
29,1.426748,0.532411,0.443294,1.507146,0.534004,0.447668,0.00047451
30,1.428112,0.533725,0.442691,1.709294,0.493407,0.404211,0.00047275
31,1.405863,0.542572,0.453604,1.499418,0.525330,0.454706,0.00047094
32,1.389860,0.542484,0.455836,1.512929,0.514573,0.442318,0.00046908
33,1.397657,0.542922,0.455093,1.698547,0.485080,0.393565,0.00046716
34,1.383036,0.543273,0.455105,1.494129,0.519084,0.444283,0.00046519
35,1.373665,0.545900,0.457380,1.519222,0.513532,0.424284,0.00046316
36,1.340811,0.561493,0.474930,1.440507,0.537474,0.454500,0.00046108
37,1.355501,0.554748,0.469444,1.490138,0.531575,0.446290,0.00045895
38,1.335421,0.562894,0.476160,1.494810,0.505205,0.429850,0.00045677
39,1.319684,0.566398,0.483459,1.471912,0.526718,0.461572,0.00045454
40,1.315834,0.563858,0.476994,1.627608,0.489244,0.422542,0.00045225
41,1.317227,0.563595,0.476824,1.474767,0.531575,0.454820,0.00044992
42,1.303100,0.569902,0.485799,1.434407,0.541291,0.483740,0.00044754
43,1.291257,0.572880,0.489515,1.436798,0.539556,0.476059,0.00044511
44,1.276779,0.580238,0.494429,1.477967,0.540250,0.458063,0.00044263
45,1.275592,0.580238,0.498938,1.444353,0.535045,0.455565,0.00044010
46,1.263533,0.581377,0.498943,1.471996,0.536433,0.470276,0.00043753
47,1.250061,0.587421,0.505349,1.458606,0.528105,0.465765,0.00043491
48,1.239660,0.585844,0.506960,1.458297,0.544761,0.468090,0.00043224
49,1.248633,0.585844,0.505655,1.463875,0.534351,0.464633,0.00042953
50,1.227736,0.595392,0.515722,1.435877,0.548924,0.476025,0.00042678
51,1.227890,0.588297,0.507228,1.458549,0.536086,0.463564,0.00042398
52,1.216533,0.597057,0.517102,1.465635,0.532616,0.475433,0.00042114
53,1.208383,0.599685,0.519224,1.429733,0.546842,0.478189,0.00041825
54,1.195517,0.602137,0.522875,1.438409,0.540250,0.465369,0.00041533
55,1.231172,0.592589,0.515058,1.556327,0.514920,0.440444,0.00041236
56,1.193988,0.602575,0.526506,1.442630,0.548230,0.466853,0.00040936
57,1.175328,0.606692,0.527799,1.420325,0.543026,0.466580,0.00040631
58,1.184551,0.608795,0.533313,1.429557,0.551006,0.471201,0.00040323
59,1.164655,0.614488,0.538696,1.455858,0.541985,0.467723,0.00040011
60,1.167016,0.608882,0.532872,1.455705,0.538515,0.474858,0.00039695
61,1.160448,0.616065,0.544871,1.420591,0.563151,0.494406,0.00039375
62,1.160565,0.610021,0.534179,1.379622,0.558640,0.496591,0.00039052
63,1.141121,0.618956,0.545500,1.422498,0.551006,0.474510,0.00038726
